match_id,team_name,player_name,kills,headshots,assists,flash_assists,deaths,kd_ratio,kd_diff,adr,fk_dif,rating
65406,ALTERNATE aTTaX,stfN,17.8,7.9,4.6,1.3,17.4,70.1,0.4,74.4,0.1,1.1
65387,GODSENT,disco doplan,18.5,8.3,4.5,1.1,17.4,71.0,1.1,78.3,0.2,1.1
65410,PRIDE,splawik,15.9,7.2,4.3,0.9,18.8,65.2,-2.9,70.0,-0.7,0.9
65411,NOREG,H4RR3,17.9,8.1,4.7,1.2,18.3,69.5,-0.4,73.3,0.2,1.1
65411,DeepDarkDanger,PALICH,16.3,8.9,4.2,0.8,18.6,66.8,-2.3,70.3,-0.1,1.0
65387,GODSENT,disco doplan,18.5,8.3,4.5,1.1,17.4,71.0,1.1,78.3,0.2,1.1
65410,PRIDE,splawik,15.9,7.2,4.3,0.9,18.8,65.2,-2.9,70.0,-0.7,0.9
65413,Red Reserve,PlesseN,18.5,8.3,4.4,1.0,18.0,69.8,0.5,75.3,0.1,1.1
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65413,Red Reserve,PlesseN,18.5,8.3,4.4,1.0,18.0,69.8,0.5,75.3,0.1,1.1
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65415,Valiance,huNter,18.6,8.7,4.9,1.5,17.0,72.9,1.7,77.0,0.3,1.2
65415,HAVU,xartE,18.5,8.3,4.9,1.2,17.0,71.7,1.5,76.6,0.2,1.1
65416,LDLC,ALEX,17.2,7.4,4.2,0.9,17.7,69.7,-0.4,73.7,-0.2,1.0
65416,EURONICS,faveN,18.2,8.7,5.0,1.6,17.8,70.4,0.3,74.9,0.1,1.1
65419,EPG,YEKINDAR,17.5,8.0,4.3,0.8,18.8,67.1,-1.2,73.5,-0.1,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65419,EPG,YEKINDAR,17.5,8.0,4.3,0.8,18.8,67.1,-1.2,73.5,-0.1,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65421,Tricked,glace,17.3,8.6,4.3,1.2,17.0,69.7,0.3,73.4,0.0,1.1
65421,Playing Ducks,Zarin,14.9,7.7,3.0,0.6,18.9,60.6,-3.9,67.2,-0.4,0.9
65415,Valiance,huNter,18.6,8.7,4.9,1.5,17.0,72.9,1.7,77.0,0.3,1.2
65415,HAVU,xartE,18.5,8.3,4.9,1.2,17.0,71.7,1.5,76.6,0.2,1.1
65423,Enyoy,jayzaR,18.7,8.1,4.9,1.3,18.4,69.7,0.2,75.2,0.3,1.1
65423,Syman,SANJI,18.1,9.0,4.1,0.7,18.6,67.9,-0.5,73.4,-0.0,1.0
65421,Tricked,glace,17.3,8.6,4.3,1.2,17.0,69.7,0.3,73.4,0.0,1.1
65421,Playing Ducks,Zarin,14.9,7.7,3.0,0.6,18.9,60.6,-3.9,67.2,-0.4,0.9
65425,Epiphany Bolt,WolfY,14.3,7.5,3.7,0.8,19.6,59.0,-5.3,64.4,-0.9,0.8
65423,Enyoy,jayzaR,18.7,8.1,4.9,1.3,18.4,69.7,0.2,75.2,0.3,1.1
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65416,EURONICS,faveN,18.2,8.7,5.0,1.6,17.8,70.4,0.3,74.9,0.1,1.1
65427,Epsilon,smooya,17.2,7.8,4.5,1.3,17.5,68.6,-0.3,73.4,0.0,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65406,AGO,phr,18.0,8.0,4.5,1.1,17.9,69.3,0.1,74.4,-0.1,1.1
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65387,GODSENT,disco doplan,18.5,8.3,4.5,1.1,17.4,71.0,1.1,78.3,0.2,1.1
65430,Quantum Bellator Fire,jmqa,17.9,7.8,4.5,1.1,18.0,69.4,-0.1,74.8,-0.1,1.1
65430,Ha MaSSe,bloody wolf,16.4,7.7,3.6,0.4,18.8,65.4,-2.4,71.0,-0.4,1.0
65425,Epiphany Bolt,WolfY,14.3,7.5,3.7,0.8,19.6,59.0,-5.3,64.4,-0.9,0.8
65423,Enyoy,jayzaR,18.7,8.1,4.9,1.3,18.4,69.7,0.2,75.2,0.3,1.1
65416,EURONICS,faveN,18.2,8.7,5.0,1.6,17.8,70.4,0.3,74.9,0.1,1.1
65427,Epsilon,smooya,17.2,7.8,4.5,1.3,17.5,68.6,-0.3,73.4,0.0,1.0
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65387,GODSENT,disco doplan,18.5,8.3,4.5,1.1,17.4,71.0,1.1,78.3,0.2,1.1
65434,fnatic Academy,ec1s,17.3,7.6,4.4,1.0,17.4,69.3,-0.1,74.0,0.1,1.0
65434,GameAgents,gabesson,17.4,7.3,4.5,1.0,18.8,69.1,-1.4,73.3,-0.1,1.0
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65430,Quantum Bellator Fire,jmqa,17.9,7.8,4.5,1.1,18.0,69.4,-0.1,74.8,-0.1,1.1
65430,Ha MaSSe,bloody wolf,16.4,7.7,3.6,0.4,18.8,65.4,-2.4,71.0,-0.4,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65406,AGO,phr,18.0,8.0,4.5,1.1,17.9,69.3,0.1,74.4,-0.1,1.1
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65406,AGO,phr,18.0,8.0,4.5,1.1,17.9,69.3,0.1,74.4,-0.1,1.1
65441,Rogue,cadiaN,17.9,8.1,4.7,1.3,17.2,71.3,0.7,73.7,0.1,1.1
65441,Dignitas,Grim,18.2,7.8,4.6,1.3,17.7,70.4,0.5,74.6,0.2,1.1
65393,C4,krg,17.2,7.1,4.2,0.7,17.8,69.4,-0.6,73.9,-0.1,1.0
65445,CSBL,lrz,16.7,8.2,4.1,1.1,15.5,75.3,1.1,77.1,0.8,1.2
65446,Bravado,Detrony,17.4,8.0,4.6,1.2,17.2,69.9,0.2,74.6,0.1,1.1
65446,Bravado,Detrony,17.4,8.0,4.6,1.2,17.2,69.9,0.2,74.6,0.1,1.1
65441,Rogue,cadiaN,17.9,8.1,4.7,1.3,17.2,71.3,0.7,73.7,0.1,1.1
65441,Dignitas,Grim,18.2,7.8,4.6,1.3,17.7,70.4,0.5,74.6,0.2,1.1
65446,Bravado,Detrony,17.4,8.0,4.6,1.2,17.2,69.9,0.2,74.6,0.1,1.1
65401,Chiefs,tucks,18.8,7.1,4.8,1.2,17.2,71.3,1.6,77.3,0.1,1.1
65454,Ground Zero,Kaotik,17.1,8.6,4.3,1.1,16.3,71.2,0.8,76.6,-0.0,1.1
65455,FaZe,NiKo,17.9,8.1,4.4,1.1,17.2,70.1,0.7,75.1,0.0,1.1
65455,Envy,hAdji,16.4,8.0,4.0,1.1,18.1,66.1,-1.7,70.8,-0.1,1.0
65454,Ground Zero,Kaotik,17.1,8.6,4.3,1.1,16.3,71.2,0.8,76.6,-0.0,1.1
65401,Chiefs,tucks,18.8,7.1,4.8,1.2,17.2,71.3,1.6,77.3,0.1,1.1
65457,mousesports,suNny,17.7,8.2,4.0,1.1,16.9,69.5,0.8,74.0,0.3,1.1
65415,Valiance,huNter,18.6,8.7,4.9,1.5,17.0,72.9,1.7,77.0,0.3,1.2
65458,SK,coldzera,18.4,8.0,4.8,1.4,17.8,71.0,0.6,76.0,0.4,1.1
65458,NiP,draken,17.8,9.1,4.2,1.0,17.6,69.4,0.2,74.6,0.2,1.1
65459,fnatic,KRIMZ,17.3,7.6,4.2,0.9,18.6,66.6,-1.3,73.0,-0.3,1.0
65459,TYLOO,DD,17.9,7.3,4.6,1.3,17.6,70.3,0.3,75.2,-0.0,1.1
65460,Cloud9,RUSH,17.6,7.6,4.5,1.0,18.4,68.1,-0.8,72.5,-0.1,1.0
65460,G2,kennyS,17.5,8.0,4.9,1.5,19.3,66.2,-1.8,70.6,-0.2,1.0
65463,Natus Vincere,electronic,18.6,8.9,4.5,0.9,16.8,72.6,1.8,76.9,0.0,1.1
65463,Renegades,Nifty,17.9,8.4,4.6,1.3,17.7,69.8,0.2,73.7,-0.0,1.1
65464,Sprout,NaToSaphiX,18.2,8.4,4.5,1.1,17.5,70.8,0.6,75.6,0.1,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65465,Liquid,nitr0,18.5,9.1,4.6,1.1,16.1,73.3,2.4,75.3,0.3,1.1
65465,Gambit,Dosia,17.7,7.7,4.4,1.0,18.1,68.8,-0.4,73.8,-0.0,1.0
65466,Astralis,Magisk,19.0,8.3,5.0,1.1,15.7,74.7,3.3,80.2,0.5,1.2
65466,Space Soldiers,XANTARES,16.6,8.5,4.4,1.4,17.2,68.2,-0.6,72.1,-0.2,1.0
65455,Envy,hAdji,16.4,8.0,4.0,1.1,18.1,66.1,-1.7,70.8,-0.1,1.0
65460,G2,kennyS,17.5,8.0,4.9,1.5,19.3,66.2,-1.8,70.6,-0.2,1.0
65464,Sprout,NaToSaphiX,18.2,8.4,4.5,1.1,17.5,70.8,0.6,75.6,0.1,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65471,Property,Limpone,17.7,7.7,4.1,1.0,19.8,64.3,-2.1,70.0,-1.0,0.9
65471,SuperJymy,ZOREE,18.4,7.9,4.6,1.1,18.7,68.9,-0.3,73.8,-0.1,1.0
65415,Valiance,huNter,18.6,8.7,4.9,1.5,17.0,72.9,1.7,77.0,0.3,1.2
65458,SK,coldzera,18.4,8.0,4.8,1.4,17.8,71.0,0.6,76.0,0.4,1.1
65459,TYLOO,DD,17.9,7.3,4.6,1.3,17.6,70.3,0.3,75.2,-0.0,1.1
65463,Renegades,Nifty,17.9,8.4,4.6,1.3,17.7,69.8,0.2,73.7,-0.0,1.1
65474,Nemiga,roman,18.0,8.7,4.1,0.9,18.6,67.8,-0.5,73.1,-0.1,1.0
65474,Nexus,Blytz,17.6,8.2,4.3,0.9,17.3,70.2,0.3,76.3,-0.0,1.1
65416,LDLC,ALEX,17.2,7.4,4.2,0.9,17.7,69.7,-0.4,73.7,-0.2,1.0
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65477,Sinister5,MisteM,12.0,5.5,3.1,0.4,16.2,60.2,-4.2,65.0,-1.0,0.8
65477,eNergy,bLacKpoisoN,17.5,8.2,4.2,0.9,10.6,80.4,6.9,89.0,1.4,1.4
65471,Property,Limpone,17.7,7.7,4.1,1.0,19.8,64.3,-2.1,70.0,-1.0,0.9
65471,SuperJymy,ZOREE,18.4,7.9,4.6,1.1,18.7,68.9,-0.3,73.8,-0.1,1.0
65465,Gambit,Dosia,17.7,7.7,4.4,1.0,18.1,68.8,-0.4,73.8,-0.0,1.0
65466,Space Soldiers,XANTARES,16.6,8.5,4.4,1.4,17.2,68.2,-0.6,72.1,-0.2,1.0
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65416,LDLC,ALEX,17.2,7.4,4.2,0.9,17.7,69.7,-0.4,73.7,-0.2,1.0
65430,Quantum Bellator Fire,jmqa,17.9,7.8,4.5,1.1,18.0,69.4,-0.1,74.8,-0.1,1.1
65474,Nemiga,roman,18.0,8.7,4.1,0.9,18.6,67.8,-0.5,73.1,-0.1,1.0
65474,Nexus,Blytz,17.6,8.2,4.3,0.9,17.3,70.2,0.3,76.3,-0.0,1.1
65477,Sinister5,MisteM,12.0,5.5,3.1,0.4,16.2,60.2,-4.2,65.0,-1.0,0.8
65477,eNergy,bLacKpoisoN,17.5,8.2,4.2,0.9,10.6,80.4,6.9,89.0,1.4,1.4
65487,HEY,novel,17.8,8.8,4.2,0.7,18.8,67.2,-1.0,73.4,-0.3,1.0
65487,Space Jam,Twiksar,17.2,7.7,3.8,0.6,17.6,67.2,-0.4,72.7,-0.2,1.0
65488,Royal Bandits,imoRR,17.5,9.3,3.9,0.9,18.6,66.4,-1.1,73.8,-0.2,1.0
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65430,Quantum Bellator Fire,jmqa,17.9,7.8,4.5,1.1,18.0,69.4,-0.1,74.8,-0.1,1.1
65406,ALTERNATE aTTaX,stfN,17.8,7.9,4.6,1.3,17.4,70.1,0.4,74.4,0.1,1.1
65488,Royal Bandits,imoRR,17.5,9.3,3.9,0.9,18.6,66.4,-1.1,73.8,-0.2,1.0
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65487,HEY,novel,17.8,8.8,4.2,0.7,18.8,67.2,-1.0,73.4,-0.3,1.0
65487,Space Jam,Twiksar,17.2,7.7,3.8,0.6,17.6,67.2,-0.4,72.7,-0.2,1.0
65487,HEY,novel,17.8,8.8,4.2,0.7,18.8,67.2,-1.0,73.4,-0.3,1.0
65487,Space Jam,Twiksar,17.2,7.7,3.8,0.6,17.6,67.2,-0.4,72.7,-0.2,1.0
65441,Rogue,cadiaN,17.9,8.1,4.7,1.3,17.2,71.3,0.7,73.7,0.1,1.1
65394,TeamOne,Maluk3,18.3,8.0,4.5,1.0,16.5,72.8,1.8,78.5,0.4,1.2
65441,Rogue,cadiaN,17.9,8.1,4.7,1.3,17.2,71.3,0.7,73.7,0.1,1.1
65394,TeamOne,Maluk3,18.3,8.0,4.5,1.0,16.5,72.8,1.8,78.5,0.4,1.2
65497,INTZ,rafa,16.9,8.0,4.0,1.0,16.7,69.6,0.2,74.2,-0.1,1.1
65393,C4,krg,17.2,7.1,4.2,0.7,17.8,69.4,-0.6,73.9,-0.1,1.0
65498,Sharks,leo_druNky,17.2,7.7,4.4,1.1,17.0,70.8,0.2,74.3,0.0,1.1
65497,INTZ,rafa,16.9,8.0,4.0,1.0,16.7,69.6,0.2,74.2,-0.1,1.1
65393,C4,krg,17.2,7.1,4.2,0.7,17.8,69.4,-0.6,73.9,-0.1,1.0
65498,Sharks,leo_druNky,17.2,7.7,4.4,1.1,17.0,70.8,0.2,74.3,0.0,1.1
65394,eUnited,dazzLe,17.3,7.5,4.2,1.1,17.1,69.5,0.2,74.0,-0.0,1.1
65441,Dignitas,Grim,18.2,7.8,4.6,1.3,17.7,70.4,0.5,74.6,0.2,1.1
65394,eUnited,dazzLe,17.3,7.5,4.2,1.1,17.1,69.5,0.2,74.0,-0.0,1.1
65441,Dignitas,Grim,18.2,7.8,4.6,1.3,17.7,70.4,0.5,74.6,0.2,1.1
65455,FaZe,NiKo,17.9,8.1,4.4,1.1,17.2,70.1,0.7,75.1,0.0,1.1
65460,Cloud9,RUSH,17.6,7.6,4.5,1.0,18.4,68.1,-0.8,72.5,-0.1,1.0
65455,FaZe,NiKo,17.9,8.1,4.4,1.1,17.2,70.1,0.7,75.1,0.0,1.1
65460,Cloud9,RUSH,17.6,7.6,4.5,1.0,18.4,68.1,-0.8,72.5,-0.1,1.0
65457,mousesports,suNny,17.7,8.2,4.0,1.1,16.9,69.5,0.8,74.0,0.3,1.1
65458,NiP,draken,17.8,9.1,4.2,1.0,17.6,69.4,0.2,74.6,0.2,1.1
65457,mousesports,suNny,17.7,8.2,4.0,1.1,16.9,69.5,0.8,74.0,0.3,1.1
65458,NiP,draken,17.8,9.1,4.2,1.0,17.6,69.4,0.2,74.6,0.2,1.1
65457,mousesports,suNny,17.7,8.2,4.0,1.1,16.9,69.5,0.8,74.0,0.3,1.1
65458,NiP,draken,17.8,9.1,4.2,1.0,17.6,69.4,0.2,74.6,0.2,1.1
65459,fnatic,KRIMZ,17.3,7.6,4.2,0.9,18.6,66.6,-1.3,73.0,-0.3,1.0
65463,Natus Vincere,electronic,18.6,8.9,4.5,0.9,16.8,72.6,1.8,76.9,0.0,1.1
65459,fnatic,KRIMZ,17.3,7.6,4.2,0.9,18.6,66.6,-1.3,73.0,-0.3,1.0
65463,Natus Vincere,electronic,18.6,8.9,4.5,0.9,16.8,72.6,1.8,76.9,0.0,1.1
65510,Spirit,S0tF1k,17.4,8.4,4.6,1.3,16.8,70.9,0.6,75.0,0.0,1.1
65419,EPG,YEKINDAR,17.5,8.0,4.3,0.8,18.8,67.1,-1.2,73.5,-0.1,1.0
65459,fnatic,KRIMZ,17.3,7.6,4.2,0.9,18.6,66.6,-1.3,73.0,-0.3,1.0
65463,Natus Vincere,electronic,18.6,8.9,4.5,0.9,16.8,72.6,1.8,76.9,0.0,1.1
65512,AVANGAR,dimasick,18.0,8.5,4.1,0.8,16.0,72.3,2.0,76.9,0.4,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65416,EURONICS,faveN,18.2,8.7,5.0,1.6,17.8,70.4,0.3,74.9,0.1,1.1
65434,fnatic Academy,ec1s,17.3,7.6,4.4,1.0,17.4,69.3,-0.1,74.0,0.1,1.0
65465,Liquid,nitr0,18.5,9.1,4.6,1.1,16.1,73.3,2.4,75.3,0.3,1.1
65466,Astralis,Magisk,19.0,8.3,5.0,1.1,15.7,74.7,3.3,80.2,0.5,1.2
65516,k0pfsache,Bennet,10.6,5.1,2.7,0.4,18.1,53.3,-7.5,58.1,-1.3,0.7
65427,Epsilon,smooya,17.2,7.8,4.5,1.3,17.5,68.6,-0.3,73.4,0.0,1.0
65465,Liquid,nitr0,18.5,9.1,4.6,1.1,16.1,73.3,2.4,75.3,0.3,1.1
65466,Astralis,Magisk,19.0,8.3,5.0,1.1,15.7,74.7,3.3,80.2,0.5,1.2
65465,Liquid,nitr0,18.5,9.1,4.6,1.1,16.1,73.3,2.4,75.3,0.3,1.1
65466,Astralis,Magisk,19.0,8.3,5.0,1.1,15.7,74.7,3.3,80.2,0.5,1.2
65516,k0pfsache,Bennet,10.6,5.1,2.7,0.4,18.1,53.3,-7.5,58.1,-1.3,0.7
65427,Epsilon,smooya,17.2,7.8,4.5,1.3,17.5,68.6,-0.3,73.4,0.0,1.0
65512,AVANGAR,dimasick,18.0,8.5,4.1,0.8,16.0,72.3,2.0,76.9,0.4,1.1
65520,x6tence,JonY BoY,16.7,8.0,3.8,0.8,18.8,64.8,-2.1,70.5,-0.2,0.9
65512,AVANGAR,dimasick,18.0,8.5,4.1,0.8,16.0,72.3,2.0,76.9,0.4,1.1
65416,EURONICS,faveN,18.2,8.7,5.0,1.6,17.8,70.4,0.3,74.9,0.1,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65394,TeamOne,Maluk3,18.3,8.0,4.5,1.0,16.5,72.8,1.8,78.5,0.4,1.2
65394,eUnited,dazzLe,17.3,7.5,4.2,1.1,17.1,69.5,0.2,74.0,-0.0,1.1
65394,TeamOne,Maluk3,18.3,8.0,4.5,1.0,16.5,72.8,1.8,78.5,0.4,1.2
65394,eUnited,dazzLe,17.3,7.5,4.2,1.1,17.1,69.5,0.2,74.0,-0.0,1.1
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65528,Izako Boars,matty,17.9,7.9,4.7,1.0,18.3,69.3,-0.4,73.9,0.1,1.1
65531,TheMongolz,ncl,15.9,8.0,3.2,0.6,18.6,62.2,-2.7,69.2,-0.4,0.9
65531,Tainted Minds,yam,17.9,7.8,5.2,1.6,16.2,72.6,1.7,78.8,0.2,1.2
65401,Grayhound,Gratisfaction,18.5,8.0,4.8,1.3,15.3,75.3,3.2,80.2,0.7,1.2
65532,BOOT-d[S],splashske,17.9,8.0,4.4,1.0,16.9,71.6,1.1,76.7,0.2,1.1
65394,eUnited,dazzLe,17.3,7.5,4.2,1.1,17.1,69.5,0.2,74.0,-0.0,1.1
65533,Swole Patrol,freakazoid,18.0,7.9,4.3,1.0,16.5,71.8,1.5,76.8,0.3,1.1
65394,eUnited,dazzLe,17.3,7.5,4.2,1.1,17.1,69.5,0.2,74.0,-0.0,1.1
65533,Swole Patrol,freakazoid,18.0,7.9,4.3,1.0,16.5,71.8,1.5,76.8,0.3,1.1
65455,Envy,hAdji,16.4,8.0,4.0,1.1,18.1,66.1,-1.7,70.8,-0.1,1.0
65455,FaZe,NiKo,17.9,8.1,4.4,1.1,17.2,70.1,0.7,75.1,0.0,1.1
65455,Envy,hAdji,16.4,8.0,4.0,1.1,18.1,66.1,-1.7,70.8,-0.1,1.0
65455,FaZe,NiKo,17.9,8.1,4.4,1.1,17.2,70.1,0.7,75.1,0.0,1.1
65531,Tainted Minds,yam,17.9,7.8,5.2,1.6,16.2,72.6,1.7,78.8,0.2,1.2
65532,BOOT-d[S],splashske,17.9,8.0,4.4,1.0,16.9,71.6,1.1,76.7,0.2,1.1
65531,Tainted Minds,yam,17.9,7.8,5.2,1.6,16.2,72.6,1.7,78.8,0.2,1.2
65532,BOOT-d[S],splashske,17.9,8.0,4.4,1.0,16.9,71.6,1.1,76.7,0.2,1.1
65458,SK,coldzera,18.4,8.0,4.8,1.4,17.8,71.0,0.6,76.0,0.4,1.1
65457,mousesports,suNny,17.7,8.2,4.0,1.1,16.9,69.5,0.8,74.0,0.3,1.1
65458,SK,coldzera,18.4,8.0,4.8,1.4,17.8,71.0,0.6,76.0,0.4,1.1
65457,mousesports,suNny,17.7,8.2,4.0,1.1,16.9,69.5,0.8,74.0,0.3,1.1
65463,Renegades,Nifty,17.9,8.4,4.6,1.3,17.7,69.8,0.2,73.7,-0.0,1.1
65459,fnatic,KRIMZ,17.3,7.6,4.2,0.9,18.6,66.6,-1.3,73.0,-0.3,1.0
65463,Renegades,Nifty,17.9,8.4,4.6,1.3,17.7,69.8,0.2,73.7,-0.0,1.1
65459,fnatic,KRIMZ,17.3,7.6,4.2,0.9,18.6,66.6,-1.3,73.0,-0.3,1.0
65465,Gambit,Dosia,17.7,7.7,4.4,1.0,18.1,68.8,-0.4,73.8,-0.0,1.0
65465,Liquid,nitr0,18.5,9.1,4.6,1.1,16.1,73.3,2.4,75.3,0.3,1.1
65465,Gambit,Dosia,17.7,7.7,4.4,1.0,18.1,68.8,-0.4,73.8,-0.0,1.0
65465,Liquid,nitr0,18.5,9.1,4.6,1.1,16.1,73.3,2.4,75.3,0.3,1.1
65419,EPG,YEKINDAR,17.5,8.0,4.3,0.8,18.8,67.1,-1.2,73.5,-0.1,1.0
65434,GameAgents,gabesson,17.4,7.3,4.5,1.0,18.8,69.1,-1.4,73.3,-0.1,1.0
65531,TheMongolz,ncl,15.9,8.0,3.2,0.6,18.6,62.2,-2.7,69.2,-0.4,0.9
65401,Grayhound,Gratisfaction,18.5,8.0,4.8,1.3,15.3,75.3,3.2,80.2,0.7,1.2
65419,EPG,YEKINDAR,17.5,8.0,4.3,0.8,18.8,67.1,-1.2,73.5,-0.1,1.0
65434,GameAgents,gabesson,17.4,7.3,4.5,1.0,18.8,69.1,-1.4,73.3,-0.1,1.0
65465,Gambit,Dosia,17.7,7.7,4.4,1.0,18.1,68.8,-0.4,73.8,-0.0,1.0
65465,Liquid,nitr0,18.5,9.1,4.6,1.1,16.1,73.3,2.4,75.3,0.3,1.1
